AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 1068,Assigned Roles 264,Department 43,Department ID 43,Detected Roles 387,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 190,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,ead76792
AD DisplayName 1069,Assigned Roles 312,Department 20,Department ID 20,Detected Roles 388,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 96,Job Profile 96,Management Level 2,Manager 126,POI Type Code 0,POI Type Description 0,Position Description Long 183,Squad ID 0,Squad Name 0,38dbfb5f
AD DisplayName 1070,Assigned Roles 313,Department 62,Department ID 62,Detected Roles 389,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 83,Job Profile 83,Management Level 2,Manager 174,POI Type Code 0,POI Type Description 0,Position Description Long 184,Squad ID 0,Squad Name 0,86f88046
AD DisplayName 1071,Assigned Roles 247,Department 47,Department ID 47,Detected Roles 390,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 133,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,e781a9d8
AD DisplayName 1072,Assigned Roles 264,Department 37,Department ID 37,Detected Roles 391,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 77,Job Profile 77,Management Level 3,Manager 191,POI Type Code 0,POI Type Description 0,Position Description Long 123,Squad ID 0,Squad Name 0,094ce6e4
AD DisplayName 1073,Assigned Roles 314,Department 35,Department ID 35,Detected Roles 380,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 56,POI Type Code 0,POI Type Description 0,Position Description Long 44,Squad ID 0,Squad Name 0,6279619e
AD DisplayName 1074,Assigned Roles 260,Department 43,Department ID 43,Detected Roles 392,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 192,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,09a79392
AD DisplayName 1075,Assigned Roles 286,Department 43,Department ID 43,Detected Roles 393,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 193,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,ea34e5f4
AD DisplayName 1076,Assigned Roles 285,Department 43,Department ID 43,Detected Roles 394,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 78,Job Profile 78,Management Level 2,Manager 194,POI Type Code 0,POI Type Description 0,Position Description Long 115,Squad ID 0,Squad Name 0,cb7eda81
AD DisplayName 1077,Assigned Roles 315,Department 43,Department ID 43,Detected Roles 395,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 195,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,5ed65a7b
